"plot_id" "Domain" "Leaf_flush" "mean_ndvi" "sd_ndvi"
"172" 213 "Amazonia" "Evergreen" 0.403685680269881 0.055051759532786
"173" 214 "Amazonia" "Evergreen" 0.466511437754596 0.0960136404976011
"174" 215 "Amazonia" "Evergreen" 0.492106291153239 0.0735489622649375
"175" 216 "Amazonia" "Evergreen" 0.540211091311721 0.116793454593802
"176" 219 "Amazonia" "Evergreen" 0.48860670324144 0.0982066238062476
"177" 220 "Amazonia" "Evergreen" 0.462502323422403 0.0958955981114747
"178" 223 "Amazonia" "Evergreen" 0.420653184603453 0.0976427178675872
"179" 224 "Amazonia" "Evergreen" 0.385603836054011 0.132092206621165
"180" 225 "Amazonia" "Evergreen" 0.411729436745028 0.0863720640202577
"181" 226 "Amazonia" "Evergreen" 0.449136852294562 0.133872465429301
"182" 227 "Amazonia" "Evergreen" 0.441963231685443 0.0615059608158652
"183" 228 "Amazonia" "Evergreen" 0.440015595214637 0.107299723464341
"184" 229 "Amazonia" "Evergreen" 0.456959397307654 0.116620607157528
"185" 230 "Amazonia" "Evergreen" 0.524921927366915 0.0446007683862594
"186" 231 "Amazonia" "Evergreen" 0.448158756003839 0.0764023445574264
"187" 232 "Amazonia" "Evergreen" 0.408073189589333 0.055160664517771
"188" 233 "Amazonia" "Evergreen" 0.516671837236116 0.131076983945746
"189" 234 "Amazonia" "Evergreen" 0.40712701534896 0.102074554990709
"190" 235 "Amazonia" "Evergreen" 0.523830354655033 0.105081367071587
"191" 236 "Amazonia" "Evergreen" 0.439846044789399 0.103485719461451
"192" 237 "Amazonia" "Evergreen" 0.497986903139533 0.0854732370635402
"193" 238 "Amazonia" "Evergreen" 0.409100342596034 0.0983143837432306
